capability_id,capability_name,scope,owner_domain,canonical_surface,primary_source,semantic_authority,backend_boundary,allowed_projections,interaction_mode,availability,notes
CAP-COM-013,Order quantity editing,seller,Commercial & Orders,Orders / Cart,NeginAI local draft + catalog units,Order draft contract,Previsit visit draft,None,read+local-write,active,Shared QuantityStepper is presentation only
CAP-COM-014,Saved order request,seller,Commercial & Orders,Orders / Saved Requests,NeginAI local state,Saved request workflow,/seller-workspace/previsit/visits/*/saved-requests,Customer360:history|Today:summary,read+local-write,active,Distinct from final ERP order
CAP-COM-015,Final Varanegar order,seller,Commercial & Orders,Orders / Submission result,Controlled Varanegar bridge,Transactional write bridge,NeginAI.usp_SubmitValidatedOrder / bridge,Customer360:history|Reports:aggregate,controlled-write,disabled,Bridge disabled; commit and numbering unverified
CAP-FIN-001,Customer balance,seller,Finance & Collections,Customer360 > Finance,Acc,ERP receivables semantic layer,Seller Workspace customer profile/finance,Today:signal|Reports:aggregate|AI:context,read,active,Finance owns truth even when shown inside Customer360
CAP-FIN-002,Open invoices,seller,Finance & Collections,Customer360 > Finance,Acc,Open-invoice semantic contract,/seller-workspace/open-invoices,Today:signal|Customer360:badge|Reports:aggregate|Alerts:alert,read,active,Cross-customer and customer-specific views share one capability
CAP-FIN-003,Customer-specific open invoices,seller,Finance & Collections,Customer360 > Finance,Acc,Open-invoice semantic contract,/seller-workspace/open-invoices/{customer_id},Today:signal|Orders:context,read,gap,Endpoint exists; direct frontend use missing
CAP-FIN-004,Customer cardex,seller,Finance & Collections,Customer360 > Finance > Cardex,Acc + dbo,Backend Varanegar semantic route,Semantic support in backend,Reports:aggregate|AI:context,read,partial,Expand without duplicating semantics
CAP-FIN-005,Receipts and collections,seller,Finance & Collections,Customer360 > Finance > Collections,Acc + dbo,Receipt semantic contract,Semantic support in backend,Today:signal|Reports:aggregate|Alerts:alert,read,partial,Limited current UI
CAP-FIN-006,Settlement state,seller,Finance & Collections,Customer360 > Finance > Settlement,Acc + dbo,Settlement semantic contract,Semantic support in backend,Reports:aggregate|AI:context,read,partial,Limited current UI
CAP-FIN-007,Cheque status and history,seller,Finance & Collections,Customer360 > Finance > Cheques,Acc + dbo,Cheque semantic contract,Semantic support in backend,Today:signal|Reports:aggregate|Alerts:alert,read,partial,Canonical cheque detail here
CAP-FIN-008,Returned cheque,seller,Finance & Collections,Finance contextual workspace,Acc + dbo,Returned-cheque semantic contract,/seller-workspace/returned-cheques,Today:alert|Customer360:badge|Reports:aggregate|Alerts:alert|Orders:context,read,active,Only one canonical returned-cheque capability
CAP-DST-001,Distribution in progress,seller,Distribution & Returns,Distribution contextual workspace,SLE + dbo,Distribution semantic contract,/seller-workspace/distribution-in-progress,Today:signal|Customer360:summary|Route:context|Reports:aggregate|Alerts:alert,read,active,Do not duplicate full distribution workflow
CAP-DST-002,Voucher and sales returns,seller,Distribution & Returns,Distribution contextual workspace,SLE + dbo,Return semantic contract,/seller-workspace/voucher-return-report,Today:signal|Customer360:summary|Reports:aggregate|Alerts:alert,read,active,Canonical return detail in one contextual workspace
CAP-ANA-001,Sales performance facts,seller,Intelligence & Analysis,Reports / Sales Analysis,SLE + dbo,Validated sales semantic contract,Reporting semantic layer,Today:summary|Customer360:context|AI:context,analysis,active,Home only projects operational summary
CAP-ANA-002,Returns performance facts,seller,Intelligence & Analysis,Reports / Returns Analysis,SLE + dbo,Validated returns semantic contract,Reporting semantic layer,Today:signal|Customer360:context,analysis,active,Analysis owns aggregate/trend
CAP-ANA-003,Target pulse,seller,Intelligence & Analysis,Today / Mission Control,Planning + SLE,Target semantic contract,/seller-workspace/target-pulse,Reports:aggregate|AI:context,analysis,gated,UI must not present unvalidated target KPI as canonical
CAP-ANA-004,Inventory analysis,seller,Intelligence & Analysis,Reports / Inventory Analysis,inv + FRU + dbo,Inventory semantic layer,Backend semantic/reporting layer,Orders:context|Today:signal,analysis,active,Operational stock remains Orders context
CAP-ANA-005,Purchase-cost profitability,seller,Intelligence & Analysis,Reports / Profitability,ICA + ERP sales,Verified last-purchase-price semantic route,Backend semantic layer,Today:signal|Customer360:context|AI:context,analysis,active,Use confirmed purchase price basis
CAP-ALT-001,Operational alerts,global,Identity & System,Alert Center,Multi-source + NeginAI local state,Operational notification service,/automations/notifications + live events,Today:alert|Route:alert|Orders:alert|Customer360:alert|Reports:alert,read+local-write,active,Alert is event projection; not domain ownership
CAP-ALT-002,Notification read and acknowledgement,global,Identity & System,Alert Center,NeginAI local state,Notification lifecycle contract,Notifications API,AppHeader:badge,read+local-write,active,Single global lifecycle
CAP-AI-001,Ambient AI,global,AI Intelligence,Contextual background layer,All approved read models,Evidence-backed AI contract,AI/chat + context services,Today:signal|Route:signal|Orders:signal|Customer360:signal|Reports:signal,orchestration,partial,No independent source facts
CAP-AI-002,Contextual Copilot,global,AI Intelligence,Current module/entity sheet,All approved read models,Evidence-backed AI contract,/chat + contextual payload,Today:context|Route:context|Orders:context|Customer360:context|Reports:context,orchestration,active,Inherits canonical module context
CAP-AI-003,Next Best Action,global,AI Intelligence,Today / Mission Control,Validated multi-domain evidence,Commercial Intelligence contract,Future/partial read model,Route:signal|Orders:signal|Customer360:signal,orchestration,partial,No arbitrary AI score
CAP-AI-004,Agent action layer,global,AI Intelligence,Contextual action sheet,Canonical capability APIs,Capability owner authorization,Agent/tool orchestration,Today:deep-link|Route:deep-link|Orders:deep-link|Customer360:deep-link,orchestration,partial,Must call owner capability rather than duplicate workflow
CAP-AI-005,AI Workspace,global,AI Intelligence,AI Workspace,Chat + context + approved tools,AI evidence/action policy,/chat/*,AllModules:deep-link,orchestration,active,Deep reasoning surface; not ERP owner
CAP-SYS-001,Offline read snapshot,seller,Identity & System,System / Sync status,NeginAI IndexedDB,Offline snapshot contract,Frontend state layer,Today:badge|Route:badge|Customers:badge,read+local-write,active,Read snapshot only; full mutation queue not implemented
CAP-SYS-002,Push subscription,global,Identity & System,Profile / Notifications,NeginAI Backend + browser push,Push delivery contract,/push/*,Alerts:context,read+local-write,partial,Delivery/rotation matrix unverified
CAP-ADM-001,Planning scenarios,enterprise,Admin & Planning,Planning Workspace,NeginAI local planning store,Planning workflow,/planning/*,Today:context|Reports:aggregate,read+local-write,separate-domain,Role-bounded; not Visitor navigation
CAP-ADM-002,Organization structure,enterprise,Admin & Planning,Organization Workspace,NeginAI local + ERP references,Organization workflow,/organization-structure*,Profile:context,read+local-write,separate-domain,Role-bounded
CAP-ADM-003,Control console and permissions,enterprise,Admin & Planning,Control Workspace,NeginAI local + ERP personnel,Control authorization contract,/control/api/*,Profile:context,read+local-write,separate-domain,Named-session management boundary
CAP-PLT-001,Guarded SQL,platform,Platform & Knowledge,Platform API,SQL Server,SQL Guard contract,/sql/query,None,read,separate-domain,Not a seller UI capability
CAP-PLT-002,Schema catalog,platform,Platform & Knowledge,Platform API,SQL metadata + local catalog,Schema contract,/schema/*,Admin:context,read+local-write,separate-domain,Infrastructure
CAP-PLT-003,Business definitions registry,platform,Platform & Knowledge,Platform API,NeginAI local store,Definition contract,/definitions*,AI:context|Reports:context,read+local-write,separate-domain,Governance still partial
CAP-PLT-004,Entity resolution and sync,platform,Platform & Knowledge,Platform API,SQL Server + local catalogs,Entity resolution contract,/entities/*,AI:context|Search:context,read+local-write,separate-domain,Freshness/conflict semantics partial
CAP-PLT-005,Automations,platform,Platform & Knowledge,Automation Workspace,NeginAI local + AI,Automation workflow,/automations/*,Alerts:context|AI:context,read+local-write,disabled,Runtime disabled in current local environment
CAP-WHS-001,Warehouse inventory operations,enterprise,Warehouse Operations,Warehouse Workspace,ERP + warehouse store,Warehouse Assistant contracts,/warehouse-assistant/*,Reports:aggregate,read+local-write,separate-domain,141-endpoint warehouse domain; keep out of Visitor nav
CAP-WHS-002,Checkbar operations,enterprise,Warehouse Operations,Warehouse Workspace,ERP + controlled procedures,Warehouse Assistant contract,/warehouse-assistant/*,None,controlled-write,separate-domain,Role-bounded
CAP-WHS-003,Interwarehouse transfer,enterprise,Warehouse Operations,Warehouse Workspace,ERP + NeginAI controlled procedure,Warehouse Assistant contract,/warehouse-assistant/*,None,controlled-write,separate-domain,Uses controlled write boundary
CAP-WHS-004,Purchase contracts and supplier orders,enterprise,Warehouse Operations,Warehouse Workspace,ERP + warehouse store,Warehouse Assistant contract,/warehouse-assistant/*,Reports:aggregate,read+local-write,separate-domain,Do not mix into Visitor orders
CAP-WHS-005,Purchase invoices and receipt conversion,enterprise,Warehouse Operations,Warehouse Workspace,ICA + controlled procedures,Warehouse Assistant contract,/warehouse-assistant/*,Reports:aggregate,controlled-write,separate-domain,Separate enterprise workflow
CAP-WHS-006,Supplier portal,enterprise,Warehouse Operations,Supplier Portal,Warehouse backend store,Supplier portal contract,/warehouse-supplier-portal/*,None,read+local-write,separate-domain,External/role-bounded surface
