audit_id,current_surface,current_element,capability_id,decision,canonical_owner,target_surface,projection_type,source_truth,severity,required_action
AUD-044,Route,Actual movement and stop telemetry,CAP-FLD-007,MISSING,Field Operations,Route / Field Execution,context,Cloud / grs,P0,Add bounded read-only telemetry model before UI use
AUD-045,Orders,Customer selling context,CAP-CUS-001,PROJECTION_ONLY,Customer Intelligence,Orders / Selling Workspace,context,GNR + NGT,P1,Keep identity context only
AUD-046,Orders,Catalog and product discovery,CAP-COM-001,KEEP,Commercial & Orders,Orders / Catalog,context,NGT,P1,Keep canonical selling discovery
AUD-047,Orders,Brand filters,CAP-COM-002,MERGE,Commercial & Orders,Orders / Catalog filters,context,NGT,P1,Reconcile catalog brand list with seller brand scope endpoint and keep one filter source
AUD-048,Orders,Product units,CAP-COM-003,KEEP,Commercial & Orders,Orders / Product detail,context,NGT,P1,Keep unit policy from NGT
AUD-049,Orders,Product images,CAP-COM-004,MISSING,Commercial & Orders,Orders / Product detail,context,NGT catalog image endpoint,P1,Use product or catalog image endpoint rather than assigning one catalog image to every product
AUD-050,Orders,Stock signals,CAP-COM-005,KEEP,Commercial & Orders,Orders / Product detail,context,NGT + FRU + inv,P1,Keep stock context and validation source-backed
AUD-051,Orders,Indicative contract price,CAP-COM-006,KEEP,Commercial & Orders,Orders / Product detail,context,NGT + SLE,P1,Keep clearly labeled as indicative until official preview succeeds
AUD-052,Orders,Official NGT preview,CAP-COM-009,KEEP,Commercial & Orders,Orders / Official Preview,context,NGT EVC REST,P0,Gate visibly when NGT REST is not configured and never imply availability
AUD-053,Orders,Official discount result,CAP-COM-010,KEEP,Commercial & Orders,Orders / Official Preview,context,NGT EVC + ERP evidence,P0,Render only successful official preview output
AUD-054,Orders,Official gift result,CAP-COM-011,KEEP,Commercial & Orders,Orders / Official Preview,context,NGT EVC + ERP evidence,P0,Render only successful official preview output
AUD-055,Orders,Credit control result,CAP-COM-012,KEEP,Commercial & Orders,Orders / Official Preview,context,ERP + NGT,P0,Keep as official preview output and do not recreate finance calculation
AUD-056,Orders,Quantity editor and cart,CAP-COM-013,KEEP,Commercial & Orders,Orders / Cart,context,NeginAI draft + NGT units,P1,Keep canonical cart editing
AUD-057,Orders,Saved request,CAP-COM-014,KEEP,Commercial & Orders,Orders / Saved Requests,context,NeginAI local state,P0,Keep but label explicitly as saved request and not final ERP order
AUD-058,Orders,Final Varanegar commit,CAP-COM-015,MISSING,Commercial & Orders,Orders / Submission result,context,Controlled Varanegar bridge,P0,Remain unavailable until bridge commit and numbering contracts are verified
AUD-059,Orders,Previsit warmup,CAP-COM-001,MISSING,Commercial & Orders,Orders / Catalog,context,NeginAI backend,P1,Use existing warmup endpoint to reduce perceived latency
AUD-060,Reports,Receivables analysis,CAP-FIN-002,KEEP,Finance & Collections,Reports / Analysis,aggregate,Acc,P1,Keep aggregate and analytical drilldown only
AUD-061,Reports,Returned cheque analysis,CAP-FIN-008,KEEP,Finance & Collections,Reports / Analysis,aggregate,Acc + dbo,P1,Keep analytical drilldown without collection workflow
AUD-062,Reports,Distribution analysis,CAP-DST-001,KEEP,Distribution & Returns,Reports / Analysis,aggregate,SLE + dbo,P1,Keep analytics only
AUD-063,Reports,Returns analysis,CAP-ANA-002,KEEP,Intelligence & Analysis,Reports / Returns Analysis,aggregate,SLE + dbo,P1,Keep analytical detail
AUD-064,Reports,Sales analysis,CAP-ANA-001,MISSING,Intelligence & Analysis,Reports / Sales Analysis,aggregate,SLE + dbo,P1,Add validated sales analysis rather than duplicate Home performance cards
AUD-065,Reports,Target analysis,CAP-ANA-003,MISSING,Intelligence & Analysis,Reports / Analysis,aggregate,Planning + SLE,P0,Add only after semantic validation
AUD-066,Reports,Inventory analysis,CAP-ANA-004,MISSING,Intelligence & Analysis,Reports / Inventory Analysis,aggregate,inv + FRU + dbo,P1,Add analytical inventory domain
AUD-067,Reports,Profitability analysis,CAP-ANA-005,MISSING,Intelligence & Analysis,Reports / Profitability,aggregate,ICA + ERP sales,P1,Add using verified last purchase price semantics
AUD-068,Reports,Negin AI analysis button,CAP-AI-002,MOVE,AI Intelligence,Current module/entity sheet,context,Approved report context,P1,Open contextual copilot in place and keep AI Workspace as optional depth
AUD-069,Alerts,Alert list and filters,CAP-ALT-001,KEEP,Identity & System,Alert Center,alert,Multi-source + NeginAI state,P1,Keep global event surface
AUD-070,Alerts,Read and acknowledge lifecycle,CAP-ALT-002,KEEP,Identity & System,Alert Center,alert,NeginAI local state,P1,Keep one global lifecycle
AUD-071,Alerts,Combined source label,CAP-ALT-001,MERGE,Identity & System,Alert Center,alert,Exact event source,P0,Stop collapsing NGT and Varanegar into one provenance label and preserve exact source
AUD-072,AI,Deep AI Workspace,CAP-AI-005,KEEP,AI Intelligence,AI Workspace,deep-link,Chat + approved tools,P1,Keep deep reasoning surface outside business ownership
AUD-073,AI,Contextual Copilot in current module,CAP-AI-002,MISSING,AI Intelligence,Current module/entity sheet,context,Approved read models,P0,Implement in-place copilot instead of forcing navigation away
AUD-074,AI,Ambient AI,CAP-AI-001,MISSING,AI Intelligence,Contextual background layer,signal,Approved read models,P1,Add evidence-backed ambient signals only
AUD-075,AI,Next Best Action read model,CAP-AI-003,MISSING,AI Intelligence,Today / Mission Control,signal,Validated multi-domain evidence,P0,Create backend Commercial Intelligence read model
AUD-076,AI,Agent action layer,CAP-AI-004,MISSING,AI Intelligence,Contextual action sheet,deep-link,Canonical capability APIs,P1,Agent must invoke canonical owner APIs and inherit authorization
AUD-077,AI,Backend integrity explanation card,CAP-AI-005,MOVE,AI Intelligence,AI Workspace,context,NeginAI backend,P2,Move developer-oriented reassurance to diagnostics or compact service status
AUD-078,System,Offline snapshot state,CAP-SYS-001,KEEP,Identity & System,System / Sync status,badge,NeginAI IndexedDB,P1,Expose compact sync state globally and avoid separate page duplicates
AUD-079,System,Push and notification permission,CAP-SYS-002,MISSING,Identity & System,Profile / Notifications,context,NeginAI Backend + browser push,P2,Add real permission and delivery state only after verification
